Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Vendor Qty 1	Vendor Qty 2	Vendor Qty 3	Customer Ref	Price Qty 1	Price Qty 2	Price Qty 3	Vendor Reel Part Num	Vendor Link	Datasheet Link	VID2	Vendor 2 Part Num	Vendor 2 Derivate Part Num	Vendor 2 Price Qty 1	Vendor 2 Link
PTH08080WAH	Texas Instruments	DK	296-20432-ND	MODULE PIP .9-5.5V 2.25A HORZ TH	1	25	100		10.75	8.8152	7.955		http://search.digikey.com/scripts/DkSearch/dksus.dll?vendor=0&keywords=PTH08080WAH&stock=1	http://focus.ti.com/lit/ds/symlink/pth08080w.pdf	ME	595-PTH08080WAH	PTH08080WAH	11.3	http://at.mouser.com/ProductDetail/Texas-Instruments/PTH08080WAH/?qs=sGAEpiMZZMuo%252bmZx5g6tFE82QReiwhO7
53047-02	Molex Inc	DK	WM1731-ND	CONN HEADER 2POS 1.25MM VERT TIN	50	100	250		0.2778	0.2395	0.21076		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=53047-02&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470210_sd.pdf					
53047-03	Molex Inc	DK	WM1732-ND	CONN HEADER 3POS 1.25MM VERT TIN	50	100	250		0.342	0.2948	0.2594		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=3047-03&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470310_sd.pdf					
53047-04	Molex Inc	DK	WM1733-ND	CONN HEADER 4POS 1.25MM VERT TIN	50	100	250		0.378	0.329	0.28		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=53047-04&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470410_sd.pdf					
53047-05	Molex Inc	DK	WM1734-ND	CONN HEADER 5POS 1.25MM VERT TIN	50	100	250		0.4816	0.4192	0.3568		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=53047-05&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470510_sd.pdf					
T491X107K025ZT	Kemet	DK	399-5175-1-ND	CAP TANT 100UF 25V 10% SMD	10	25	100		2.453	2.3448	2.1645	399-5175-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-5175-1-ND	http://www.kemet.com/datasheets&T491X107K025ZT					
T491A475K010AT	Kemet	DK	399-3696-1-ND	CAPACITOR TANT 4.7UF 10V 10% SMD	10	100	250		0.349	0.21	0.15752	399-3696-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-3696-1-ND	http://www.kemet.com/datasheets&T491A475K010AT					
TC164-JR-07100RL	Yageo	DK	TC164J-100CT-ND	RES ARRAY 100 OHM 8TRM 4 RES SMD	10	100	500		0.012	0.0103	0.00736	TC164J-100DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=TC164J-100CT-ND	http://www.yageo.com/documents/recent/PYu-YC_TC164_51_RoHS_L_3.pdf					
SN74LVC8T245DBQR	Texas Instruments	DK	296-23279-1-ND	IC BUS TRANSCVR 8BIT 24QSOP	1	25	100		1.33	1.05	0.945	296-23279-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-23279-1-ND	http://focus.ti.com/lit/ds/symlink/sn74lvc8t245.pdf					
S3B-ZR-SM4A-TF	JST	DK	455-1694-1-ND	CONN HEADER ZH SIDE 3POS 1.5MM	1	10	100		0.56	0.516	0.43	455-1694-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1694-1-ND						
TLP3123(F)	Toshiba	DK	TLP3123F-ND	PHOTORELAY MOSFET 1A 4-SOP	10	100	250		3.15	2.45	2.32752		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=TLP+3123+SO&x=0&y=0	http://www.semicon.toshiba.co.jp/docs/datasheet/en/Opto/TLP3123_en_datasheet_071001.pdf					
AP2151WG-7	Diodes Inc	DK	AP2151WGDICT-ND	IC PWR SW USB 1CH 0.5A SOT-25-5	10	100	250		0.855	0.675	0.585		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AP2151WGDICT-ND	http://www.diodes.com/datasheets/AP2141_51.pdf					
74LVC2GU04GW,125	NXP Semiconductors	DK	568-4843-1-ND	IC DUAL INVERTER SC88-6	1	25	100		0.52	0.3428	0.2816	568-4843-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=568-4843-1-ND	http://www.nxp.com/documents/data_sheet/74LVC2GU04.pdf	ME	771-LVC2GU04GW125	74LVC2GU04GW,125	0.577	http://ch.mouser.com:80/Search/ProductDetail.aspx?R=74LVC2GU04GW%2c125virtualkey66800000virtualkey771-LVC2GU04GW125
MAX3051ESA+	Maxim Integrated Products	DK	MAX3051ESA+-ND	IC TXRX CAN 1MBPS 8-SOIC	1	25	100		2.56	1.71	1.24		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MAX3051ESA%2B-ND	http://datasheets.maxim-ic.com/en/ds/MAX3051.pdf					
DF12C(3.0)-50DS-0.5V	Hirose Electric Co Ltd	DK	DF12C(3.0)-50DS-0.5V(81)-ND	CONN RECEPT 50 POS SMD 0.5MM	1000				0.8379				http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=DF12C%283.0%29-50DS-0.5V&x=0&y=0	http://www.hirose.co.jp/cataloge_hp/e53700036.pdf										
B4B-PH-K	JST	DK	455-1706-ND	CONN HEADER PH TOP 4POS 2MM	10	100	500		0.11122	0.167	0.139		http://search.digikey.com/scripts/DkSearch/dksus.dll?vendor=0&keywords=B4B-PH-K-S&stock=1	http://www.jst-mfg.com/product/pdf/eng/ePH.pdf					
S02B-PASK-2	JST	DK	455-1847-ND	CONN HEADER PA 2POS SIDE 2MM TIN	10	100	500		0.225	0.1872	0.14974		http://search.digikey.com/scripts/DkSearch/dksus.dll?vendor=0&keywords=S02B-PASK-2&stock=1	http://www.jst-mfg.com/product/pdf/eng/ePA-F.pdf					
B3B-ZR	JST	DK	455-1658-ND	CONN HEADER ZH TOP 3POS 1.5MM	10	100	500		0.123	0.1028	0.08222	455-1682-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1658-ND	http://www.jst-mfg.com/product/pdf/eng/eZH.pdf					
53261-03	Molex Inc	DK	WM7621CT-ND	CONN HEADER 3POS 1.25MM R/A SMD	10	50	100		1.09	0.9082	0.8173	WM7621DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM7621CT-ND	http://www.molex.com/pdm_docs/sd/532610371_sd.pdf					
